"Possible Locations__ADDRESS","Possible Locations__BLK_NO","Possible Locations__BUILDING","Possible Locations__LATITUDE","Possible Locations__LONGITUDE","Possible Locations__LONGTITUDE","Possible Locations__POSTAL","Possible Locations__ROAD_NAME","Possible Locations__SEARCHVAL","Possible Locations__X","Possible Locations__Y","Station","Station Name"
"151 BOON LAY WAY CHINESE GARDEN MRT STATION SINGAPORE 609959","151","CHINESE GARDEN MRT STATION","1.34235282081403","103.732596738363","103.732596738363","609959","BOON LAY WAY","CHINESE GARDEN MRT STATION","16790.746632209","36056.3018932845","EW25","Chinese Garden"
"201 BOON LAY WAY LAKESIDE MRT STATION SINGAPORE 649845","201","LAKESIDE MRT STATION","1.34425913054043","103.720949076305","103.720949076305","649845","BOON LAY WAY","LAKESIDE MRT STATION","15494.4957124498","36267.1487586629","EW26","Lakeside"
"301 BOON LAY WAY BOON LAY MRT STATION SINGAPORE 649846","301","BOON LAY MRT STATION","1.33860405469846","103.706064622772","103.706064622772","649846","BOON LAY WAY","BOON LAY MRT STATION","13837.9827195415","35641.9191215821","EW27","Boon Lay"
"31 JURONG WEST STREET 63 PIONEER MRT STATION SINGAPORE 648310","31","PIONEER MRT STATION","1.33758688240768","103.697321513018","103.697321513018","648310","JURONG WEST STREET 63","PIONEER MRT STATION","12864.9592090417","35529.4973224401","EW28","Pioneer"
"91 JOO KOON CIRCLE JOO KOON MRT STATION SINGAPORE 629116","91","JOO KOON MRT STATION","1.32771717334029","103.678375143838","103.678375143838","629116","JOO KOON CIRCLE","JOO KOON MRT STATION","10756.3544098651","34438.2764274832","EW29","Joo Koon"
"7A TUAS ROAD GUL CIRCLE MRT STATION SINGAPORE 637288","7A","GUL CIRCLE MRT STATION","1.319470868174","103.660530403418","103.660530403418","637288","TUAS ROAD","GUL CIRCLE MRT STATION","8770.34505425021","33526.5697681308","EW30","Gul Circle"
"90 PIONEER ROAD TUAS CRESCENT MRT STATION SINGAPORE 639608","90","TUAS CRESCENT MRT STATION","1.32102695188066","103.649078232635","103.649078232635","639608","PIONEER ROAD","TUAS CRESCENT MRT STATION","7495.83753407747","33698.7258568909","EW31","Tuas Crescent"
"131 PIONEER ROAD TUAS WEST ROAD MRT STATION SINGAPORE 639609","131","TUAS WEST ROAD MRT STATION","1.3299890890646","103.63961405628","103.63961405628","639609","PIONEER ROAD","TUAS WEST ROAD MRT STATION","6442.6401277706","34689.798801709","EW32","Tuas West Road"
"20 TUAS WEST DRIVE TUAS LINK MRT STATION SINGAPORE 638418","20","TUAS LINK MRT STATION","1.34088242451108","103.636991425128","103.636991425128","638418","TUAS WEST DRIVE","TUAS LINK MRT STATION","6150.86278806441","35894.3582222294","EW33","Tuas Link"
"2 EXPO DRIVE EXPO MRT STATION SINGAPORE 485985","2","EXPO MRT STATION","1.33538252614957","103.962374747451","103.962374747451","485985","EXPO DRIVE","EXPO MRT STATION","42362.6034600176","35285.7083877865","CG1","Expo"
"21 CHANGI SOUTH AVENUE 1 EXPO MRT STATION SINGAPORE 486065","21","EXPO MRT STATION","1.33454977824819","103.961548211018","103.961548211018","486065","CHANGI SOUTH AVENUE 1","EXPO MRT STATION","42270.6232344825","35193.6223453805","",""
"70 AIRPORT BOULEVARD CHANGI AIRPORT MRT STATION SINGAPORE 819661","70","CHANGI AIRPORT MRT STATION","1.35747897447696","103.98788356959","103.98788356959","819661","AIRPORT BOULEVARD","CHANGI AIRPORT MRT STATION","45201.3203946929","37729.1933764704","CG2","Changi Airport"
"81 TELOK BLANGAH ROAD HARBOURFRONT MRT STATION SINGAPORE 098867","81","HARBOURFRONT MRT STATION","1.26538938402277","103.821530156823","103.821530156823","098867","TELOK BLANGAH ROAD","HARBOURFRONT MRT STATION","26688.0366718732","27545.8534563184","NE1","HarbourFront"
"83 TELOK BLANGAH ROAD HARBOURFRONT MRT STATION SINGAPORE 098886","83","HARBOURFRONT MRT STATION","1.2653893842965","103.821530157095","103.821530157095","098886","TELOK BLANGAH ROAD","HARBOURFRONT MRT STATION","26688.0367021412","27545.8534865864","",""
"300 EU TONG SEN STREET OUTRAM PARK MRT STATION SINGAPORE 059816","300","OUTRAM PARK MRT STATION","1.27973970679336","103.839513521005","103.839513521005","059816","EU TONG SEN STREET","OUTRAM PARK MRT STATION","28689.4468921591","29132.635703966","NE3","Outram Park"
"10 OUTRAM ROAD OUTRAM PARK MRT STATION SINGAPORE 169037","10","OUTRAM PARK MRT STATION","1.28140491195148","103.839130571022","103.839130571022","169037","OUTRAM ROAD","OUTRAM PARK MRT STATION","28646.8272404503","29316.765383333","",""
"91 UPPER CROSS STREET CHINATOWN MRT STATION SINGAPORE 058362","91","CHINATOWN MRT STATION","1.28422391919087","103.845143798953","103.845143798953","058362","UPPER CROSS STREET","CHINATOWN MRT STATION","29316.0490006935","29628.4789423905","NE4","Chinatown"
"151 NEW BRIDGE ROAD CHINATOWN MRT STATION SINGAPORE 059443","151","CHINATOWN MRT STATION","1.2843595780039","103.843426775693","103.843426775693","059443","NEW BRIDGE ROAD","CHINATOWN MRT STATION","29124.9584720396","29643.478574669","",""
"10 EU TONG SEN STREET CLARKE QUAY MRT STATION SINGAPORE 059815","10","CLARKE QUAY MRT STATION","1.28838602407589","103.846555209694","103.846555209694","059815","EU TONG SEN STREET","CLARKE QUAY MRT STATION","29473.1249443386","30088.7037861515","NE5","Clarke Quay"
"11 ORCHARD ROAD DHOBY GHAUT MRT STATION SINGAPORE 238826","11","DHOBY GHAUT MRT STATION","1.29870130619238","103.846115155028","103.846115155028","238826","ORCHARD ROAD","DHOBY GHAUT MRT STATION","29424.144839067","31229.3142516632","NE6","Dhoby Ghaut"
"60 ORCHARD ROAD DHOBY GHAUT MRT STATION SINGAPORE 238889","60","DHOBY GHAUT MRT STATION","1.29970545852799","103.845488184359","103.845488184359","238889","ORCHARD ROAD","DHOBY GHAUT MRT STATION","29354.3680562042","31340.3479005359","",""
